"CMPLNT_NUM","ADDR_PCT_CD","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","HOUSING_PSA","JURISDICTION_CODE","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PATROL_BORO","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","New Georeferenced Column"
"305305201","107","QUEENS","04/24/2025","00:45:00","04/24/2025","01:15:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","OTHER","04/24/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","1038383","202843","40.723277","-73.804705","(40.723277, -73.804705)","POINT (-73.804705 40.723277)"
"313101993","113","QUEENS","09/18/2025","03:50:00","09/18/2025","04:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","09/18/2025","(null)","UNKNOWN","UNKNOWN","U",,"25-44","ASIAN / PACIFIC ISLANDER","M","1039865","189211","40.685851","-73.799468","(40.685851, -73.799468)","POINT (-73.799468 40.685851)"
"312437345","103","QUEENS","09/05/2025","23:15:00","09/05/2025","23:30:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","STREET","09/05/2025","(null)","25-44","BLACK","M",,"45-64","WHITE HISPANIC","M","1038563","192646","40.695288","-73.804138","(40.695288, -73.804138)","POINT (-73.804138 40.695288)"
"304587591","45","BRONX","11/18/2024","18:00:00",,"(null)","COMPLETED","(null)",,"97","OTHER","114","FELONY","OPPOSITE OF","ARSON","(null)","PATROL BORO BRONX","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","04/11/2025","(null)","(null)","(null)","(null)",,"45-64","WHITE","M","1035349","241463","40.829298","-73.815355","(40.829298, -73.815355)","POINT (-73.815355 40.829298)"
"309868443","103","QUEENS","07/19/2025","21:10:00","07/19/2025","21:30:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","GAS STATION","07/19/2025","(null)","25-44","BLACK","M",,"UNKNOWN","UNKNOWN","D","1038324","193096","40.696526","-73.804994","(40.696526, -73.804994)","POINT (-73.804994 40.696526)"
"308762860","103","QUEENS","06/26/2025","20:30:00","06/26/2025","20:40:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","HOMELESS SHELTER","06/28/2025","(null)","45-64","BLACK","F",,"UNKNOWN","UNKNOWN","D","1039318","196300","40.705313","-73.801385","(40.705313, -73.801385)","POINT (-73.801385 40.705313)"
"298733298","107","QUEENS","12/14/2024","09:57:00",,"(null)","COMPLETED","(null)","1233","2","N.Y. HOUSING POLICE","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","RESIDENCE - PUBLIC HOUSING","01/01/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","D","1035980","206038","40.732062","-73.813348","(40.732062, -73.813348)","POINT (-73.813348 40.732062)"
"299612775","107","QUEENS","01/01/2025","00:41:00","01/01/2025","02:52:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","BANK","01/17/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","1038556","202237","40.721614","-73.804083","(40.721614, -73.804083)","POINT (-73.804083 40.721614)"
"307959709","107","QUEENS","06/11/2025","00:19:00",,"(null)","COMPLETED","(null)","1233","2","N.Y. HOUSING POLICE","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE - PUBLIC HOUSING","06/12/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","E","1036676","205770","40.731323","-73.810838","(40.731323, -73.810838)","POINT (-73.810838 40.731323)"
"298725729","107","MANHATTAN","12/10/2024","11:54:00",,"(null)","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","BANK","01/01/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","1042096","203811","40.725911","-73.7913","(40.725911, -73.7913)","POINT (-73.7913 40.725911)"
"299352522","101","QUEENS","01/13/2025","05:54:00","01/13/2025","05:56:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","01/13/2025","(null)","65+","BLACK","F",,"45-64","BLACK","F","1043650","154674","40.591031","-73.786126","(40.591031, -73.786126)","POINT (-73.786126 40.591031)"
"299110112","113","QUEENS","12/01/2024","05:02:00",,"(null)","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","RESIDENCE-HOUSE","01/08/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","M","1045377","188451","40.683729","-73.779602","(40.683729, -73.779602)","POINT (-73.779602 40.683729)"
"311999683","113","QUEENS","08/10/2025","06:15:00","08/10/2025","11:17:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","08/23/2025","(null)","(null)","(null)","(null)",,"65+","BLACK","M","1041652","188959","40.685148","-73.793029","(40.685148, -73.793029)","POINT (-73.793029 40.685148)"
"304153496","103","QUEENS","04/01/2025","02:08:00","04/01/2025","03:03:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","04/04/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","D","1044083","193382","40.697274","-73.784222","(40.697274, -73.784222)","POINT (-73.784222 40.697274)"
"300533155","113","QUEENS","12/14/2024","02:35:00","12/14/2024","07:32:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE-HOUSE","02/04/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","D","1042850","187479","40.681079","-73.78872","(40.681079, -73.78872)","POINT (-73.78872 40.681079)"
"310717900","111","QUEENS","08/05/2025","02:36:00","08/05/2025","04:00:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS NORTH","263","ARSON 2,3,4","COMMERCIAL BUILDING","08/05/2025","(null)","(null)","(null)","(null)",,"65+","ASIAN / PACIFIC ISLANDER","M","1043216","215479","40.757931","-73.787155","(40.757931, -73.787155)","POINT (-73.787155 40.757931)"
"299809651","113","QUEENS","01/21/2025","14:15:00","01/21/2025","15:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE-HOUSE","01/21/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","E","1042020","186203","40.677581","-73.791724","(40.677581, -73.791724)","POINT (-73.791724 40.677581)"
"310712266","111","QUEENS","08/05/2025","00:32:00","08/05/2025","01:00:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS NORTH","263","ARSON 2,3,4","COMMERCIAL BUILDING","08/05/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","ASIAN / PACIFIC ISLANDER","D","1043216","215479","40.757931","-73.787155","(40.757931, -73.787155)","POINT (-73.787155 40.757931)"
"309083911","103","QUEENS","07/03/2025","20:42:00","07/03/2025","23:21:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","07/04/2025","(null)","UNKNOWN","BLACK","M",,"UNKNOWN","UNKNOWN","M","1043333","194603","40.700631","-73.786916","(40.700631, -73.786916)","POINT (-73.786916 40.700631)"
"313582733","45","BRONX","09/28/2025","09:30:00","09/28/2025","10:15:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO BRONX","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","09/28/2025","(null)","25-44","WHITE HISPANIC","M",,"65+","WHITE","M","1043652","247553","40.84596","-73.7853","(40.84596, -73.7853)","POINT (-73.7853 40.84596)"
"304541024","111","QUEENS","04/09/2025","12:00:00","04/09/2025","12:10:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","(null)","ARSON","(null)","PATROL BORO QUEENS NORTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","04/09/2025","(null)","UNKNOWN","WHITE","M",,"25-44","WHITE","M","1044590","216239","40.75999662","-73.78219044","(40.75999662, -73.78219044)","POINT (-73.78219044 40.75999662)"
"305838468","107","QUEENS","05/04/2025","23:45:00","05/04/2025","23:55:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","(null)","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","05/05/2025","(null)","UNKNOWN","WHITE HISPANIC","M",,"25-44","WHITE HISPANIC","M","1044079","200338","40.71635592","-73.78417641","(40.71635592, -73.78417641)","POINT (-73.78417641 40.71635592)"
